,Date,Response type,Response time
0,0.0,Hold_Time,122.583
1,1.0,Hold_Time,172.187
2,2.0,Hold_Time,301.135
3,3.0,Hold_Time,124.396
4,4.0,Hold_Time,122.295
5,5.0,Hold_Time,123.332
6,6.0,Hold_Time,121.788
7,7.0,Hold_Time,138.128
8,8.0,Hold_Time,127.619
9,9.0,Hold_Time,156.998
10,10.0,Hold_Time,161.847
11,11.0,Hold_Time,139.142
12,12.0,Hold_Time,136.16
13,13.0,Hold_Time,172.177
14,14.0,Hold_Time,131.44
15,15.0,Hold_Time,130.249
16,16.0,Hold_Time,129.948
17,17.0,Hold_Time,122.589
18,18.0,Hold_Time,121.488
19,19.0,Hold_Time,210.919
20,20.0,Hold_Time,123.404
21,21.0,Hold_Time,130.365
22,22.0,Hold_Time,123.109
23,23.0,Hold_Time,145.472
24,24.0,Hold_Time,126.74
25,25.0,Hold_Time,125.305
26,26.0,Hold_Time,122.628
27,27.0,Hold_Time,127.038
28,28.0,Hold_Time,163.627
29,29.0,Hold_Time,132.714
30,30.0,Hold_Time,127.087
31,31.0,Hold_Time,123.529
32,32.0,Hold_Time,202.891
33,33.0,Hold_Time,161.809
34,34.0,Hold_Time,126.979
35,35.0,Hold_Time,126.561
36,36.0,Hold_Time,133.054
37,37.0,Hold_Time,122.763
38,38.0,Hold_Time,119.014
39,39.0,Hold_Time,126.425
40,40.0,Hold_Time,294.97
41,41.0,Hold_Time,121.915
42,42.0,Hold_Time,118.194
43,43.0,Hold_Time,120.797
44,44.0,Hold_Time,124.062
45,45.0,Hold_Time,146.53
46,46.0,Hold_Time,115.07
47,47.0,Hold_Time,116.869
48,48.0,Hold_Time,111.253
49,49.0,Hold_Time,117.496
50,50.0,Hold_Time,223.847
51,51.0,Hold_Time,128.114
52,52.0,Hold_Time,122.463
53,53.0,Hold_Time,120.682
54,54.0,Hold_Time,121.706
55,55.0,Hold_Time,127.068
56,56.0,Hold_Time,118.528
57,57.0,Hold_Time,120.187
58,58.0,Hold_Time,118.039
59,59.0,Hold_Time,119.77
60,60.0,Hold_Time,113.457
61,61.0,Hold_Time,122.786
62,63.0,Hold_Time,159.142
63,64.0,Hold_Time,119.846
64,65.0,Hold_Time,119.017
65,66.0,Hold_Time,117.389
66,67.0,Hold_Time,132.171
67,68.0,Hold_Time,116.662
68,69.0,Hold_Time,117.435
69,70.0,Hold_Time,119.578
70,71.0,Hold_Time,119.813
71,72.0,Hold_Time,120.822
72,73.0,Hold_Time,123.663
73,74.0,Hold_Time,139.264
74,75.0,Hold_Time,119.018
75,76.0,Hold_Time,120.996
76,77.0,Hold_Time,117.168
77,78.0,Hold_Time,117.256
78,79.0,Hold_Time,119.967
79,80.0,Hold_Time,114.312
80,81.0,Hold_Time,111.978
81,82.0,Hold_Time,119.422
82,83.0,Hold_Time,116.945
83,84.0,Hold_Time,117.744
84,85.0,Hold_Time,119.401
85,86.0,Hold_Time,116.669
86,87.0,Hold_Time,119.265
87,88.0,Hold_Time,115.742
88,89.0,Hold_Time,116.165
89,90.0,Hold_Time,111.725
90,91.0,Hold_Time,117.582
91,92.0,Hold_Time,118.46
92,93.0,Hold_Time,112.554
93,94.0,Hold_Time,112.976
94,95.0,Hold_Time,120.071
95,96.0,Hold_Time,122.183
96,97.0,Hold_Time,120.287
97,98.0,Hold_Time,121.038
98,99.0,Hold_Time,119.58
99,100.0,Hold_Time,115.218
100,101.0,Hold_Time,119.954
101,102.0,Hold_Time,187.81
102,103.0,Hold_Time,120.212
103,104.0,Hold_Time,122.217
104,105.0,Hold_Time,115.179
105,106.0,Hold_Time,121.698
106,107.0,Hold_Time,114.639
107,108.0,Hold_Time,117.106
108,109.0,Hold_Time,122.751
109,110.0,Hold_Time,118.039
110,111.0,Hold_Time,118.319
111,112.0,Hold_Time,120.13
112,113.0,Hold_Time,118.568
113,114.0,Hold_Time,134.162
114,115.0,Hold_Time,121.344
115,116.0,Hold_Time,125.671
116,117.0,Hold_Time,123.656
117,118.0,Hold_Time,120.09
118,119.0,Hold_Time,113.778
119,120.0,Hold_Time,136.72
120,121.0,Hold_Time,123.421
121,122.0,Hold_Time,114.802
122,123.0,Hold_Time,118.809
123,124.0,Hold_Time,118.765
124,125.0,Hold_Time,120.442
125,126.0,Hold_Time,122.176
126,127.0,Hold_Time,121.582
127,128.0,Hold_Time,125.505
128,129.0,Hold_Time,127.568
129,130.0,Hold_Time,114.345
130,131.0,Hold_Time,117.198
131,132.0,Hold_Time,122.978
132,133.0,Hold_Time,117.622
133,134.0,Hold_Time,119.071
134,135.0,Hold_Time,121.298
135,136.0,Hold_Time,121.916
136,138.0,Hold_Time,120.285
137,139.0,Hold_Time,115.039
138,140.0,Hold_Time,123.734
139,141.0,Hold_Time,126.853
140,142.0,Hold_Time,121.056
141,143.0,Hold_Time,118.178
142,144.0,Hold_Time,113.59
143,145.0,Hold_Time,117.187
144,147.0,Hold_Time,116.45
145,148.0,Hold_Time,122.705
146,149.0,Hold_Time,112.814
147,150.0,Hold_Time,117.729
148,151.0,Hold_Time,115.245
149,153.0,Hold_Time,116.649
150,154.0,Hold_Time,118.752
151,156.0,Hold_Time,143.057
152,157.0,Hold_Time,110.185
153,159.0,Hold_Time,119.557
154,161.0,Hold_Time,112.049
155,163.0,Hold_Time,121.822
156,164.0,Hold_Time,117.063
157,165.0,Hold_Time,111.693
158,167.0,Hold_Time,115.8
159,168.0,Hold_Time,113.616
160,170.0,Hold_Time,117.339
161,172.0,Hold_Time,117.578
162,176.0,Hold_Time,114.751
163,179.0,Hold_Time,144.267
164,0.0,Latency_Time,342.95
165,1.0,Latency_Time,347.484
166,2.0,Latency_Time,345.834
